TAXONOMY	Domain	Phylum	Class	Order	Family	Genus	Species
Otu575	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_bacterium
Otu572	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_bacterium
Otu576	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured_bacterium
Otu577	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium
Otu578	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
Otu579	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	uncultured_bacterium
Otu581							
Otu586							
Otu587							
Otu582	Bacteria	Firmicutes	Clostridia	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	Clostridia_vadinBB60_group	uncultured_bacterium
Otu580	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_bacterium
Otu584	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured	uncultured_bacterium
Otu583	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	GCA-900066575	uncultured_bacterium
Otu589							
Otu585	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_bacterium
Otu592							
Otu590	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Triticum_aestivum
Otu591							
Otu588	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	
Otu593							
Otu594							
Otu600							
Otu601							
Otu602							
Otu595	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	uncultured_bacterium
Otu596	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium
Otu598	Bacteria	Campylobacterota					
Otu599	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	uncultured_bacterium
Otu603							
Otu597	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae		
Otu604							
Otu605							
Otu608							
Otu611							
Otu612							
Otu613							
Otu607	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnospiraceae_oral
Otu610	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	
Otu606	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	uncultured_bacterium
Otu609	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family_XI	Parvimonas	uncultured_bacterium
